tag,family,topology,phi,seed,material,rho0,diffuse_frac,roughness,theta_in,theta_out,brdf,brdf_analytic,panel_mean,panel_p99,panel_max,panel_px,control_mean,control_expect,control_dev,sun_angle_deg,mm_per_px,res_x,res_y,samples,cycles_seed,margin_depths,params_json
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-40.0,0.001648175019588035,0.001648173443104104,0.0012625741073861718,0.0015578581648878753,0.0059334770776331425,59427,0.01219196431338787,0.01219197597504636,9.565027452016637e-07,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-30.0,0.0012153349863442244,0.0012153328026637768,0.0009309989400207996,0.0015601620473898947,0.005674848798662424,67239,0.01219195406883955,0.01219197597504636,1.7967724719250473e-06,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-20.0,0.0007844668401268537,0.0007844669287178332,0.0006009365315549076,0.0015713411802425982,0.005026571452617645,73377,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-10.0,0.00041518486351832594,0.0004151849104057556,0.0003180500934831798,0.0016446166904643177,0.004271693993359804,76725,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,0.0,2.4707307314401634e-05,2.4707310104633733e-05,1.8926897610072047e-05,0.0002671890775673171,0.0003971567202825099,77841,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,10.0,3.0630919891724585e-05,3.063092335091885e-05,2.3464648620574735e-05,0.0002947433153167367,0.0005044729332439601,76725,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,20.0,4.3955095205603846e-05,4.395510016951659e-05,3.367156023159623e-05,0.0004174015519674871,0.0007114547188393772,73377,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,30.0,0.00012591397736963852,0.00012591374151253352,9.645552199799567e-05,0.0012829358153976485,0.002164671430364251,67239,0.012191953137516975,0.01219197597504636,1.8731606288999003e-06,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,40.0,0.0003678980048698412,0.00036789765297438957,0.0002818259526975453,0.0036267441743984795,0.006107200402766466,59427,0.01219196431338787,0.01219197597504636,9.565027452016637e-07,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.4_d64.0_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-30.0,-40.0,0.0012014641782904542,0.0012014630949275223,0.001040497561916709,0.0012526642368175084,0.0076461308635771275,59427,0.013783209957182407,0.013783222385544802,9.017022324056746e-07,10.0,0.21497308723695815,1550,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
