surface,kind,theta_in,theta_out,brdf,beta,weight,samples,params_json
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",40.0,20.0,0.0007914787528331788,0.0024865038353731263,0.11848238259023353,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",40.0,30.0,0.0012279586876155217,0.0038577459919246866,0.06286794684681445,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",40.0,40.0,0.001651874741446741,0.005189517552379621,0.033179223186677424,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",50.0,0.0,2.373326372760126e-05,7.456024697234122e-05,0.0065355076348754095,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",50.0,10.0,0.00040405804011555893,0.0012693857704509299,0.03338469265784898,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",50.0,20.0,0.0007644611300320343,0.0024016254700635906,0.05561144080565327,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",50.0,30.0,0.0011884138367433985,0.00373351217893752,0.0423335308913596,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",50.0,40.0,0.0017176883530089222,0.005396277110969581,0.017484629857040627,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",50.0,50.0,0.002317126901058719,0.007279468849801355,0.0012614910466040863,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",60.0,0.0,2.3465481565868965e-05,7.371898450028066e-05,0.0003101062304818472,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",60.0,10.0,0.00040330348677656137,0.0012670152712243934,0.0026107146470065244,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",60.0,20.0,0.0007619179309907959,0.0023936357746390195,0.009070420549818088,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",60.0,30.0,0.0011787031420814212,0.003703005131926199,0.020643217980652304,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",60.0,40.0,0.0017098806348519082,0.005371748440966206,0.027664518789582617,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",60.0,50.0,0.0024289771281409806,0.007630856701505338,0.014891768708549939,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",60.0,60.0,0.0033495852351432425,0.010523032367298851,0.001310197086328678,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",70.0,30.0,0.0011722299603681952,0.0036826690318105763,0.00016770928864145665,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",70.0,40.0,0.001694168072262382,0.005322385969765881,0.0012836314650343998,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",70.0,50.0,0.0024160046957267243,0.00759010260313352,0.008244533197795913,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",70.0,60.0,0.0035311312400825028,0.011093375962704606,0.010905238817076307,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
panel,"honeycomb 6.4/64/0.03, Musou to 15 %",70.0,70.0,0.005286004484668231,0.016606472855876415,0.0010354765094735961,128,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 64.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 6.4, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
flat_musou,"flat plate, its own Musou coating",20.0,0.0,0.0036382377105136105,0.011429860863362907,0.000169119275521003,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",20.0,10.0,0.0027255693486862367,0.008562628642682198,0.005185244746805636,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",20.0,20.0,0.0025311117398421827,0.007951722047303081,0.013925120490468639,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
