tag,family,topology,depth,pitch,phi,seed,diffuse_frac,theta,rho,control,params_json
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d00,20.0,0.00031067311647348106,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d00,-40.0,0.00022272122441790998,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d00,40.0,0.0002181982563342899,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d76,0.0,0.0008691335679031909,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d76,-20.0,0.0011679938761517406,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d76,20.0,0.0011710479157045484,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d76,-40.0,0.0016702371649444103,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d76,40.0,0.001677800202742219,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d100,0.0,0.0008657085127197206,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d100,-20.0,0.0014476357027888298,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d100,20.0,0.0014535130467265844,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d100,-40.0,0.002135601593181491,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone55,cone3d,cone,50.0,5.5,0.0,23,d100,40.0,0.0021547884680330753,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d00,0.0,0.0009963813936337829,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d00,-20.0,0.0003242969687562436,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d00,20.0,0.00031234792550094426,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
