tag,family,topology,phi,seed,diffuse_frac,theta,rho,control,params_json
P9f_floor_ref,floor,pyramid,0,23,d100,-20.0,0.0014451442984864116,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9f_floor_ref,floor,pyramid,0,23,d100,20.0,0.001448550377972424,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9f_floor_ref,floor,pyramid,0,23,d100,-40.0,0.001766751753166318,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9f_floor_ref,floor,pyramid,0,23,d100,40.0,0.001761332037858665,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9f_floor_ref,floor,pyramid,0,23,d100,-50.0,0.0018413185607641935,0.04999997839331627,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9f_floor_ref,floor,pyramid,0,23,d100,-60.0,0.0019210466416552663,0.049999967217445374,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9f_floor_ref,floor,pyramid,0,23,d100,-70.0,0.001980477711185813,0.04999997839331627,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9f_grate40,stack,comb,0,23,d00,0.0,0.002113817725330591,0.04472216218709946,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 60.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 40.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 40.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}}"
P9f_grate40,stack,comb,0,23,d00,-20.0,0.002127161016687751,0.042791932821273804,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 60.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 40.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 40.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}}"
P9f_grate40,stack,comb,0,23,d00,20.0,0.002087256172671914,0.043050553649663925,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 60.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 40.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 40.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}}"
