tag,family,topology,phi,seed,material,rho0,diffuse_frac,roughness,theta_in,theta_out,brdf,brdf_analytic,panel_mean,panel_p99,panel_max,panel_px,control_mean,control_expect,control_dev,sun_angle_deg,mm_per_px,res_x,res_y,samples,cycles_seed,margin_depths,params_json
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-40.0,0.0016597040135689024,0.001659701538585342,0.0012714051408693194,0.001557623785920441,0.007626438979059458,59427,0.012191957794129848,0.01219197597504636,1.4912198440256352e-06,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-30.0,0.001240512676189956,0.0012405098787080663,0.0009502856992185116,0.0015643631340935813,0.007286681327968836,67239,0.012191948480904102,0.01219197597504636,2.255101413774166e-06,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-20.0,0.0007925789663006772,0.000792579055807771,0.0006071507814340293,0.0015711290715262295,0.006635474041104317,73377,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,-10.0,0.00041721821399052074,0.00041721826110757964,0.0003196077304892242,0.001637985510751605,0.005589734762907028,76725,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,0.0,2.3573710626918204e-05,2.3573713289131583e-05,1.8058512068819255e-05,0.0002624302753247328,0.0004597551887854934,77841,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,10.0,2.9759254324893875e-05,2.9759257685649688e-05,2.2796913981437683e-05,0.00029369002324528974,0.00048630984383635223,76725,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,20.0,4.2690885574275186e-05,4.2690890395418894e-05,3.2703119359211996e-05,0.00041681812959723193,0.0006672153249382973,73377,0.012191977351903915,0.01219197597504636,1.1293145244627903e-07,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,30.0,0.00012147629023453789,0.00012147601629318402,9.305602725362405e-05,0.0012743963627144693,0.002027354435995221,67239,0.012191948480904102,0.01219197597504636,2.255101413774166e-06,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-40.0,40.0,0.00035149193957815015,0.00035149141542639484,0.000269258045591414,0.003594190203584729,0.005829948931932449,59427,0.012191957794129848,0.01219197597504636,1.4912198440256352e-06,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
hc_p06.5_d62.5_w0.03_f015,topo,honeycomb,0.0,23,musou_fit,0.00998,0.76,0.3,-30.0,-40.0,0.0012118293481907215,0.0012118275185394357,0.0010494734160602093,0.001252822233363986,0.007965956814587116,59427,0.013783201575279236,0.013783222385544802,1.5098258581501054e-06,10.0,0.2150266449889739,1534,296,128,,2.0,"{""backing"": 2.0, ""cell_lean_domain"": 16.0, ""depth"": 62.5, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 6.5, ""seed"": 23, ""topology"": ""honeycomb"", ""wall_bot"": 0.03, ""wall_top"": 0.03}"
