tag,family,topology,mode,r_surface,theta,rho,control,ratio,params_json
P82_plate_R005,arplate,arplate,hemi_view,0.005,0.0,0.009226725436747074,0.04999997466802597,0.18453460222745652,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R005,arplate,arplate,hemi_view,0.005,20.0,0.0007156064384616911,0.04999997466802597,0.014312136020326983,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R005,arplate,arplate,hemi_view,0.005,40.0,0.0,0.04999997466802597,0.0,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R010,arplate,arplate,hemi_view,0.01,0.0,0.01849566586315632,0.04999997466802597,0.3699135046759122,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R010,arplate,arplate,hemi_view,0.01,20.0,0.001425578142516315,0.04999997466802597,0.02851157729541701,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R010,arplate,arplate,hemi_view,0.01,40.0,1.017697013594443e-05,0.04999997466802597,0.00020353950584003813,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R010,arplate,arplate,hemi_view,0.01,-20.0,0.020056702196598053,0.04999997466802597,0.4011342471624077,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R010,arplate,arplate,hemi_view,0.01,-40.0,0.019957002252340317,0.04999997466802597,0.3991402472670139,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R010,arplate,arplate,hemi_view,0.01,50.0,2.0271269022487104e-05,0.049999967217445374,0.00040542564626751,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R010,arplate,arplate,hemi_view,0.01,70.0,0.0,0.049999967217445374,0.0,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R020,arplate,arplate,hemi_view,0.02,0.0,0.036023013293743134,0.04999997466802597,0.7204606308886625,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R020,arplate,arplate,hemi_view,0.02,20.0,0.002800443908199668,0.04999997466802597,0.05600890654031668,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_plate_R020,arplate,arplate,hemi_view,0.02,40.0,4.7492510930169374e-05,0.04999997466802597,0.0009498506998352527,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,-60.0,3.1372858302347595e-06,0.007957748137414455,0.0003942429159681965,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,-55.0,6.125908112153411e-05,0.00912875309586525,0.006710563915818976,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,-50.0,349.6297302246094,0.010230282321572304,34175.96105704289,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,-45.0,7.719468703726307e-05,0.011253954842686653,0.006859338616186805,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,-40.0,4.826384156331187e-06,0.01219197642058134,0.00039586560782579454,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,-20.0,6.199782376370422e-08,0.014955674298107624,4.145438214815158e-06,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,0.0,8.720324018440806e-09,0.015915490686893463,5.47914242167982e-07,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,20.0,2.570102797250229e-09,0.01495567336678505,1.7184801608185374e-07,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,40.0,1.1126833898700283e-09,0.01219197828322649,9.126356396162866e-08,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
P82_scan,arplate,arplate,angle,0.01,50.0,8.077825075503142e-10,0.010230285115540028,7.895992129518217e-08,"{""ar_roughness"": 0.02, ""thickness"": 2.0, ""tilt_deg"": 25.0, ""void_depth"": 90.0, ""void_rho"": 0.0}"
