tag,family,theta,rho,ratio,control,depth_mm,pitch_mm,tip_mm,tip_fraction,aspect,lattice,tilt_deg
R_ref_d50_p13,ridge,-80.0,0.00257867225445807,0.0515734558482227,0.049999989569187164,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,-70.0,0.000914301082957536,0.01828602819874401,0.04999998211860657,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,-60.0,0.0005121175781823695,0.010242356752829695,0.04999997466802597,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,-50.0,0.0003727812727447599,0.007455627565747853,0.049999985843896866,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,-40.0,0.0003092750848736614,0.006185503909581808,0.04999998211860657,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,-30.0,0.0002750192070379853,0.005500385698040251,0.049999985843896866,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,-20.0,0.00025312628713436425,0.005062527553188224,0.04999998211860657,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,-10.0,0.00024519991711713374,0.004904000461526415,0.04999997839331627,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,0.0,0.00026802695356309414,0.0053605413877323305,0.04999997839331627,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,10.0,0.0002457421796862036,0.004914845717594412,0.04999997839331627,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,20.0,0.0002535129606258124,0.005070261025782893,0.04999998211860657,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
R_ref_d50_p13,ridge,30.0,0.00027654279256239533,0.005530857417155667,0.049999985843896866,50.0,13.0,0.8,0.06153846153846154,3.8461538461538463,-,0.0
