tag,family,topology,shape,pitch,open_frac,wall,edge_frac_est,seed,diffuse_frac,theta,rho,control,params_json
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d100,-40.0,0.0033809803426265717,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o00,perf,perforated pyramid,perforated pyramid,5.5,0.0,0.5,0.18182,23,d100,40.0,0.0033296130131930113,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.0, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d00,0.0,0.0023829536512494087,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d00,-20.0,0.0019451624248176813,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d00,20.0,0.0019664920400828123,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d00,-40.0,0.0021379219833761454,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d00,40.0,0.0021121215540915728,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d76,0.0,0.0020647915080189705,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d76,-20.0,0.002359059639275074,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d76,20.0,0.002333597047254443,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
