tag,family,theta,rho,ratio,control,depth_mm,pitch_mm,tip_mm,tip_fraction,aspect
F_gr_d50_p13_t02,ridge,-80.0,0.002459284383803606,0.04918588483338088,0.04999979957938194,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,-70.0,0.0006356428493745625,0.012712908893257928,0.049999795854091644,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,-60.0,0.0002527603064663708,0.005055227146049943,0.049999792128801346,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,-50.0,0.00014900416135787964,0.00298009517260792,0.04999979957938194,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,-40.0,0.0001102914466173388,0.0022058379386025694,0.049999795854091644,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,-30.0,9.07306166482158e-05,0.0018146197419082266,0.049999795854091644,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,-20.0,8.059272659011185e-05,0.0016118612329927683,0.049999792128801346,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,-10.0,7.667979662073776e-05,0.0015336023082497567,0.049999792128801346,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,0.0,0.00010399620805401355,0.0020799329632105166,0.04999978840351105,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,10.0,7.699982961639762e-05,0.0015400029947733214,0.049999792128801346,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,20.0,8.065754809649661e-05,0.0016131576685102956,0.049999792128801346,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,30.0,9.130857506534085e-05,0.0018261789574460588,0.049999795854091644,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,40.0,0.00011067401646869257,0.0022134893668698,0.049999795854091644,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,50.0,0.0001492845476604998,0.002985702921138492,0.04999979957938194,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,60.0,0.0002526356256566942,0.005052733519489347,0.049999792128801346,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,70.0,0.0006419684505090117,0.012839421432487256,0.049999795854091644,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d50_p13_t02,ridge,80.0,0.0024569155648350716,0.04913850826410537,0.04999979957938194,50.0,13.0,0.2,0.015384615384615385,3.8461538461538463
F_gr_d30_p75_t02,ridge,-80.0,0.0025527095422148705,0.05105439549136739,0.04999979957938194,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,-70.0,0.000717927236109972,0.0143586033472019,0.049999795854091644,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,-60.0,0.0003127126256003976,0.006254278513695379,0.049999792128801346,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,-50.0,0.0001978738873731345,0.003957493610728998,0.04999979957938194,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,-40.0,0.00015293355681933463,0.0030586836247416312,0.049999795854091644,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,-30.0,0.0001301808952121064,0.002603628534644373,0.049999795854091644,30.0,7.5,0.2,0.02666666666666667,4.0
