tag,family,topology,diffuse_frac,pitch,depth,aspect,exposed_est,theta,rho,control,params_json
CONE_p0750_d30,cone3d,cone,d100,7.5,30.0,4.0,0.0025796257624664436,-40.0,0.002852537902072072,0.049911126494407654,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d30,cone3d,cone,d100,7.5,30.0,4.0,0.0025796257624664436,20.0,0.002218988025560975,0.049909744411706924,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d30,cone3d,cone,d100,7.5,30.0,4.0,0.0025796257624664436,40.0,0.002864946611225605,0.049910031259059906,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d00,3.75,30.0,8.0,0.010318503049865774,0.0,0.0019286689348518848,0.049681056290864944,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d00,3.75,30.0,8.0,0.010318503049865774,-20.0,0.0014879859518259764,0.04965415969491005,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d00,3.75,30.0,8.0,0.010318503049865774,-40.0,0.0025347440969198942,0.05000783130526543,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d00,3.75,30.0,8.0,0.010318503049865774,20.0,0.001510145841166377,0.04965602234005928,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d00,3.75,30.0,8.0,0.010318503049865774,40.0,0.0025803104508668184,0.05001034215092659,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d76,3.75,30.0,8.0,0.010318503049865774,0.0,0.0011352772125974298,0.049669817090034485,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d76,3.75,30.0,8.0,0.010318503049865774,-20.0,0.0014392598532140255,0.049640193581581116,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d76,3.75,30.0,8.0,0.010318503049865774,-40.0,0.0021859603002667427,0.049721941351890564,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d76,3.75,30.0,8.0,0.010318503049865774,20.0,0.0014593047089874744,0.049641359597444534,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d76,3.75,30.0,8.0,0.010318503049865774,40.0,0.002229660050943494,0.049731072038412094,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d100,3.75,30.0,8.0,0.010318503049865774,0.0,0.0009999284520745277,0.04966651275753975,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d100,3.75,30.0,8.0,0.010318503049865774,-20.0,0.0015554989222437143,0.049636002629995346,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d100,3.75,30.0,8.0,0.010318503049865774,-40.0,0.002263781148940325,0.049633290618658066,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d100,3.75,30.0,8.0,0.010318503049865774,20.0,0.0015718754148110747,0.04963661730289459,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0375_d30,cone3d,cone,d100,3.75,30.0,8.0,0.010318503049865774,40.0,0.0022821007296442986,0.04964027553796768,"{""backing"": 2.0, ""depth"": 30.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d00,7.5,20.0,2.6666666666666665,0.0025796257624664436,0.0,0.0028522424399852753,0.0499599426984787,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
