tag,diffuse_frac,power,bulge,lip,pitch,depth,aspect,seal_frac,theta,rho,control
P050_B00_L00_p0375_d40,d76,0.5,0.0,0.0,3.75,40.0,10.666666666666666,0.521,20.0,0.0018896313849836588,0.0496460497379303
P050_B00_L00_p0375_d40,d76,0.5,0.0,0.0,3.75,40.0,10.666666666666666,0.521,40.0,0.0026686834171414375,0.04973403736948967
P050_B00_L00_p0375_d40,d100,0.5,0.0,0.0,3.75,40.0,10.666666666666666,0.521,0.0,0.0016320741269737482,0.04967156797647476
P050_B00_L00_p0375_d40,d100,0.5,0.0,0.0,3.75,40.0,10.666666666666666,0.521,-20.0,0.002031137701123953,0.049643080681562424
P050_B00_L00_p0375_d40,d100,0.5,0.0,0.0,3.75,40.0,10.666666666666666,0.521,-40.0,0.0028060926124453545,0.04964707791805267
P050_B00_L00_p0375_d40,d100,0.5,0.0,0.0,3.75,40.0,10.666666666666666,0.521,20.0,0.002039531012997031,0.04964121803641319
P050_B00_L00_p0375_d40,d100,0.5,0.0,0.0,3.75,40.0,10.666666666666666,0.521,40.0,0.002784684533253312,0.04964979365468025
P050_B00_L00_p0375_d50,d00,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,0.0,0.002086468506604433,0.049684204161167145
P050_B00_L00_p0375_d50,d00,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,-20.0,0.0017924450803548098,0.04965963959693909
P050_B00_L00_p0375_d50,d00,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,-40.0,0.0028641035314649343,0.049993809312582016
P050_B00_L00_p0375_d50,d00,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,20.0,0.001735942205414176,0.04965685307979584
P050_B00_L00_p0375_d50,d00,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,40.0,0.0028567216359078884,0.05000469461083412
P050_B00_L00_p0375_d50,d76,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,0.0,0.0014868923462927341,0.04967328533530235
P050_B00_L00_p0375_d50,d76,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,-20.0,0.0017518082167953253,0.04964529722929001
