tag,pitch,depth,wall,paint_frac,seed,theta,rho,in_scored_band,in_rig_band,flat_coating_rho,samples,margin_depths,params_json
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,10.0,0.0007762284949421883,1,0,0.009962753096759706,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,20.0,0.0011252580443397164,1,1,0.009977653744432421,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,30.0,0.0013750591315329075,1,1,0.010052316187519728,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,40.0,0.0016633197665214539,1,1,0.01030255935529961,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,45.0,0.001849779044277966,0,1,0.010570348017951196,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,50.0,0.0020428092684596777,0,1,0.011011467898119626,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,55.0,0.002233204897493124,0,1,0.011728305049914695,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,60.0,0.002435486763715744,0,1,0.012884793735446275,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,65.0,0.002674102783203125,0,1,0.014746394207629836,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s101,6.4,64.0,0.03,0.15,101,70.0,0.0029383550863713026,0,1,0.017749143291279135,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,0.0,0.00034745066659525037,1,0,0.009961832887039999,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,10.0,0.0007825579959899187,1,0,0.009962753096759706,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,20.0,0.0011189928045496345,1,1,0.009977653744432421,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,30.0,0.0013672064524143934,1,1,0.010052316187519728,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,40.0,0.0016575135523453355,1,1,0.01030255935529961,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,45.0,0.0018283161334693432,0,1,0.010570348017951196,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,50.0,0.002019170904532075,0,1,0.011011467898119626,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,55.0,0.0022145244292914867,0,1,0.011728305049914695,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,60.0,0.0024126723874360323,0,1,0.012884793735446275,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,65.0,0.002635339507833123,0,1,0.014746394207629836,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RIGBAND_p06.4_d64.0_w0.03_s102,6.4,64.0,0.03,0.15,102,70.0,0.0028973466251045465,0,1,0.017749143291279135,128,6.5,"{""depth"": 64.0, ""floor"": ""none"", ""margin_depths"": 6.5, ""panel"": 60.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.4, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
