tag,family,theta,rho,ratio,control,depth_mm,pitch_mm,tip_mm,tip_fraction,aspect,lattice,tilt_deg,jitter,eff_overlap
J_nojit,cone3d,-80.0,0.0010115202749148011,0.02023040971868837,0.049999989569187164,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,-70.0,0.0003317209775559604,0.00663442192377338,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,-60.0,0.00012395167141221464,0.0024790344995185803,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,-50.0,6.934793054824695e-05,0.0013869591069801683,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,-40.0,4.957378769177012e-05,0.00099147610841489,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,-30.0,4.047224865644239e-05,0.0008094453229174296,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,-20.0,3.7087029340909794e-05,0.0007417409073494198,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,-10.0,3.8088350265752524e-05,0.0007617673912564859,0.04999997466802597,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,0.0,4.1794657590799034e-05,0.0008358935130337161,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,10.0,3.8324142224155366e-05,0.0007664832328137743,0.04999997466802597,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,20.0,3.696633575600572e-05,0.0007393270346082226,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,30.0,4.060689752805047e-05,0.0008121383015133179,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,40.0,4.9815480451798066e-05,0.0009963099653441708,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,50.0,6.978533929213881e-05,0.0013957072849865978,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,60.0,0.00012507550127338618,0.00250151110645491,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,70.0,0.00033411936601623893,0.006682389710133568,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_nojit,cone3d,80.0,0.0009956656722351909,0.019913138077935516,0.05000044032931328,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.0,1.15
J_jit15,cone3d,-80.0,0.0017403552774339914,0.03480711281000941,0.049999989569187164,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,-70.0,0.00048811337910592556,0.009762271073378709,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,-60.0,0.0001583436969667673,0.0031668753078488102,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,-50.0,8.06758034741506e-05,0.0016135166465215314,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,-40.0,5.538139521377161e-05,0.0011076283003941805,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,-30.0,4.4813081331085414e-05,0.0008962620139267058,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,-20.0,4.1070234146900475e-05,0.0008214050378947869,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,-10.0,4.340717714512721e-05,0.0008681439827385606,0.04999997466802597,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,0.0,4.746000558952801e-05,0.0009492005219720697,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,10.0,4.2825671698665246e-05,0.0008565138679170461,0.04999997466802597,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,20.0,4.0808674384607e-05,0.0008161738403883408,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,30.0,4.446922321221791e-05,0.000889384848577501,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,40.0,5.5498301662737504e-05,0.0011099664302096789,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,50.0,8.044073911150917e-05,0.0016088153575873909,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,60.0,0.00015570597315672785,0.0031141208088510254,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,70.0,0.00048065531882457435,0.009613109814407461,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit15,cone3d,80.0,0.0017014155164361,0.034028010658110695,0.05000044032931328,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.15,1.3
J_jit30,cone3d,-80.0,0.0023043332621455193,0.04608667485733998,0.049999989569187164,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,-70.0,0.000732067390345037,0.014641353043056622,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,-60.0,0.00021617220772895962,0.0043234460228858095,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,-50.0,9.824836160987616e-05,0.0019649679349248174,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,-40.0,6.415502139134333e-05,0.001283100886699502,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,-30.0,5.1370039727771655e-05,0.0010274012385301057,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,-20.0,4.659628393710591e-05,0.0009319260814587602,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,-10.0,5.013891859562136e-05,0.0010027788799597981,0.04999997466802597,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,0.0,5.061841511633247e-05,0.001012368739805273,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,10.0,4.944047759636305e-05,0.0009888100528974725,0.04999997466802597,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,20.0,4.622024061973207e-05,0.0009244052118612624,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,30.0,5.0854720029747114e-05,0.001017094840115873,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,40.0,6.334101635729894e-05,0.0012668207801963944,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,50.0,9.699252404971048e-05,0.0019398511747390507,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,60.0,0.0002096262905979529,0.004192527623691426,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,70.0,0.0007086433470249176,0.014172872009112361,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit30,cone3d,80.0,0.0021674958989024162,0.04334953621661806,0.05000044032931328,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.3,1.6
J_jit45,cone3d,-80.0,0.002764083445072174,0.05528168043410072,0.049999989569187164,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.45,1.9
J_jit45,cone3d,-70.0,0.0011013139737769961,0.022026287352754123,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.45,1.9
J_jit45,cone3d,-60.0,0.0003281539829913527,0.006563082495956009,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.45,1.9
J_jit45,cone3d,-50.0,0.0001266457693418488,0.002532916292678431,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.45,1.9
J_jit45,cone3d,-40.0,7.50264516682364e-05,0.00150052956999592,0.04999998211860657,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.45,1.9
J_jit45,cone3d,-30.0,5.743448491557501e-05,0.001148690194699215,0.04999997839331627,50.0,13.0,0.8,0.003434412997366567,3.8461538461538463,hex,0.0,0.45,1.9
