tag,family,topology,process,feature,seed,diffuse_frac,phi,pitch,depth,theta,rho,control,params_json
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d100,0.0,5.5,50.0,20.0,0.0014534707879647613,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d100,0.0,5.5,50.0,40.0,0.0021548415534198284,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p15_s23,cone3d,cone,n/a,,23,d00,15.0,5.5,50.0,0.0,0.001842554658651352,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p15_s23,cone3d,cone,n/a,,23,d00,15.0,5.5,50.0,-20.0,0.0013438056921586394,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p15_s23,cone3d,cone,n/a,,23,d00,15.0,5.5,50.0,-40.0,0.002023103879764676,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p15_s23,cone3d,cone,n/a,,23,d00,15.0,5.5,50.0,20.0,0.001339091919362545,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p15_s23,cone3d,cone,n/a,,23,d00,15.0,5.5,50.0,40.0,0.0020476505160331726,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p15_s23,cone3d,cone,n/a,,23,d76,15.0,5.5,50.0,0.0,0.0010329580400139093,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p15_s23,cone3d,cone,n/a,,23,d76,15.0,5.5,50.0,-20.0,0.0012930200900882483,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p15_s23,cone3d,cone,n/a,,23,d76,15.0,5.5,50.0,-40.0,0.001922846189700067,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
