tag,family,topology,face_w,tip_flat,seed,diffuse_frac,theta,rho,control,params_json
P5_j00,floor,pyramid,60.0,0.0,23,d00,0.0,0.0011606424814090133,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d00,-20.0,0.000606461544521153,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d00,20.0,0.0006412464426830411,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d00,-40.0,0.0006925971829332411,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d00,40.0,0.0007081788498908281,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d76,0.0,0.0007204409339465201,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d76,-20.0,0.0009792465716600418,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d76,20.0,0.0009854277595877647,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d76,-40.0,0.0011743861250579357,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d76,40.0,0.0011681081959977746,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d100,0.0,0.0006007355405017734,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d100,-20.0,0.0010940461652353406,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d100,20.0,0.0010951333679258823,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d100,-40.0,0.0013391865650191903,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P5_j00,floor,pyramid,60.0,0.0,23,d100,40.0,0.0013366296188905835,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d00,0.0,0.001102950656786561,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d00,-20.0,0.0006721222307533026,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d00,20.0,0.0006521760951727629,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d00,-40.0,0.0007199845858849585,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d00,40.0,0.0006921440945006907,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d76,0.0,0.0006734915659762919,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d76,-20.0,0.0009705448755994439,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d76,20.0,0.0009570755646564066,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d76,-40.0,0.001152691780589521,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d76,40.0,0.0011481698602437973,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d100,0.0,0.0005576420808210969,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d100,-20.0,0.0010776679264381528,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d100,20.0,0.001071482663974166,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d100,-40.0,0.0013025372754782438,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_j00_f100,floor,pyramid,100.0,0.0,23,d100,40.0,0.0013032263377681375,0.04999997466802597,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d00,0.0,0.001075221924111247,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d00,-20.0,0.000622768304310739,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d00,20.0,0.0006454516551457345,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d00,-40.0,0.0007050057756714523,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d00,40.0,0.0006934807752259076,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d76,0.0,0.0006685290718451142,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d76,-20.0,0.0009431725484319031,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d76,20.0,0.000958919757977128,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d76,-40.0,0.00114595633931458,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d76,40.0,0.0011317057069391012,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d100,0.0,0.0005524890730157495,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d100,-20.0,0.001065360615029931,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d100,20.0,0.0010690231574699283,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P57_p02_f100,floor,pyramid,100.0,0.0,23,d100,-40.0,0.0012972954427823424,0.04999997466802597,"{""backing"": 2.0, ""depth"": 18.0, ""face_h"": 100.0, ""face_w"": 100.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 2.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
