tag,family,topology,phi,seed,diffuse_frac,theta,rho,control,params_json
P9v_cleaned,floor,pyramid,0,23,d00,-20.0,0.0006611570133827627,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d00,20.0,0.000670083099976182,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d00,-40.0,0.0007818842423148453,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d00,40.0,0.0007598172524012625,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d76,0.0,0.0009576210868544877,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d76,-20.0,0.001255349488928914,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d76,20.0,0.0012525221100077033,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d76,-40.0,0.0015336052747443318,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d76,40.0,0.001517096534371376,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d100,0.0,0.0009750240133143961,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d100,-20.0,0.001445144647732377,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d100,20.0,0.001448550377972424,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d100,-40.0,0.0017666995991021395,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
P9v_cleaned,floor,pyramid,0,23,d100,40.0,0.001761332037858665,0.04999997094273567,"{""backing"": 2.0, ""depth"": 20.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""mesh"": ""cleaned"", ""pitch"": 4.0, ""tip_flat"": 0.1}"
