tag,family,topology,depth,pitch,aspect,seed,diffuse_frac,theta,rho,control,params_json
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d00,20.0,0.0005520127015188336,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d00,-40.0,0.0006996490992605686,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d00,40.0,0.0006793891661800444,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d76,0.0,0.0014019495574757457,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d76,-20.0,0.00171279301866889,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d76,20.0,0.0018142459448426962,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d76,-40.0,0.0020761112682521343,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d76,40.0,0.0020571909844875336,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d100,0.0,0.0016315815737470984,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d100,-20.0,0.0021073659881949425,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d100,20.0,0.0022370286751538515,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d100,-40.0,0.002525400137528777,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p1767,floor,pyramid,50.0,17.67,2.83,23,d100,40.0,0.0025166706182062626,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 17.67, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d00,0.0,0.0011652095708996058,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d00,-20.0,0.0006673891330137849,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d00,20.0,0.0006663553067483008,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d00,-40.0,0.0007566241547465324,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d00,40.0,0.000792125822044909,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d76,0.0,0.0009371411870233715,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d76,-20.0,0.0012008172925561666,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d76,20.0,0.0011882195249199867,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d76,-40.0,0.001447853515855968,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d76,40.0,0.0014443685067817569,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d100,0.0,0.0009025491308420897,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d100,-20.0,0.0013853450072929263,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d100,20.0,0.0013773276004940271,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d100,-40.0,0.0016799619188532233,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
