tag,pitch,tip_radius,second_ratio,second_depth_frac,second_tip,theta,rho
B_tip010,7.5,0.1,0.0,0.55,0.4,80.0,0.0021365561988204718
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-80.0,0.0021318988874554634
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-70.0,0.0006113614654168487
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-60.0,0.00020385249808896333
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-50.0,0.00011995060776825994
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-40.0,9.551784751238301e-05
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-30.0,8.960519335232675e-05
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-20.0,9.687997226137668e-05
B_s50_f40,7.5,0.4,0.5,0.4,0.4,-10.0,0.00011630322114797309
B_s50_f40,7.5,0.4,0.5,0.4,0.4,0.0,0.00012159676407463849
B_s50_f40,7.5,0.4,0.5,0.4,0.4,10.0,0.00011928453022846952
B_s50_f40,7.5,0.4,0.5,0.4,0.4,20.0,0.00010058812767965719
B_s50_f40,7.5,0.4,0.5,0.4,0.4,30.0,8.962202264228836e-05
B_s50_f40,7.5,0.4,0.5,0.4,0.4,40.0,9.48231972870417e-05
B_s50_f40,7.5,0.4,0.5,0.4,0.4,50.0,0.0001181409606942907
B_s50_f40,7.5,0.4,0.5,0.4,0.4,60.0,0.00019706750754266977
B_s50_f40,7.5,0.4,0.5,0.4,0.4,70.0,0.0005786900292150676
B_s50_f40,7.5,0.4,0.5,0.4,0.4,80.0,0.0020352439023554325
B_s50_f55,7.5,0.4,0.5,0.55,0.4,-80.0,0.002131895162165165
B_s50_f55,7.5,0.4,0.5,0.55,0.4,-70.0,0.0006114162388257682
B_s50_f55,7.5,0.4,0.5,0.55,0.4,-60.0,0.00020565104205161333
B_s50_f55,7.5,0.4,0.5,0.55,0.4,-50.0,0.00012859440175816417
B_s50_f55,7.5,0.4,0.5,0.55,0.4,-40.0,0.00011064922000514343
B_s50_f55,7.5,0.4,0.5,0.55,0.4,-30.0,0.00011318550241412595
B_s50_f55,7.5,0.4,0.5,0.55,0.4,-20.0,0.00012917704589199275
B_s50_f55,7.5,0.4,0.5,0.55,0.4,-10.0,0.00015694105240982026
B_s50_f55,7.5,0.4,0.5,0.55,0.4,0.0,0.00016433819837402552
B_s50_f55,7.5,0.4,0.5,0.55,0.4,10.0,0.00016050039266701788
B_s50_f55,7.5,0.4,0.5,0.55,0.4,20.0,0.00013639542157761753
B_s50_f55,7.5,0.4,0.5,0.55,0.4,30.0,0.00011471448669908568
B_s50_f55,7.5,0.4,0.5,0.55,0.4,40.0,0.00010936686885543168
B_s50_f55,7.5,0.4,0.5,0.55,0.4,50.0,0.0001256153336726129
B_s50_f55,7.5,0.4,0.5,0.55,0.4,60.0,0.0001975978520931676
B_s50_f55,7.5,0.4,0.5,0.55,0.4,70.0,0.0005786700057797134
B_s50_f55,7.5,0.4,0.5,0.55,0.4,80.0,0.00203524436801672
B_s50_f70,7.5,0.4,0.5,0.7,0.4,-80.0,0.0021239283960312605
B_s50_f70,7.5,0.4,0.5,0.7,0.4,-70.0,0.0006152486312203109
B_s50_f70,7.5,0.4,0.5,0.7,0.4,-60.0,0.00022680911934003234
B_s50_f70,7.5,0.4,0.5,0.7,0.4,-50.0,0.00015936206909827888
B_s50_f70,7.5,0.4,0.5,0.7,0.4,-40.0,0.00015126101789064705
B_s50_f70,7.5,0.4,0.5,0.7,0.4,-30.0,0.00016623966803308576
B_s50_f70,7.5,0.4,0.5,0.7,0.4,-20.0,0.0001868589606601745
B_s50_f70,7.5,0.4,0.5,0.7,0.4,-10.0,0.00020650772785302252
B_s50_f70,7.5,0.4,0.5,0.7,0.4,0.0,0.0002146558545064181
B_s50_f70,7.5,0.4,0.5,0.7,0.4,10.0,0.00020651881641242653
B_s50_f70,7.5,0.4,0.5,0.7,0.4,20.0,0.00019309192430227995
B_s50_f70,7.5,0.4,0.5,0.7,0.4,30.0,0.0001708366471575573
B_s50_f70,7.5,0.4,0.5,0.7,0.4,40.0,0.00015212901053018868
B_s50_f70,7.5,0.4,0.5,0.7,0.4,50.0,0.00015287096903193742
B_s50_f70,7.5,0.4,0.5,0.7,0.4,60.0,0.00021813137573190033
B_s50_f70,7.5,0.4,0.5,0.7,0.4,70.0,0.0005791601142846048
B_s50_f70,7.5,0.4,0.5,0.7,0.4,80.0,0.002030252246186137
B_s33_f55,7.5,0.4,0.33,0.55,0.4,-80.0,0.0021318960934877396
B_s33_f55,7.5,0.4,0.33,0.55,0.4,-70.0,0.0006114557618275285
B_s33_f55,7.5,0.4,0.33,0.55,0.4,-60.0,0.00020630212384276092
B_s33_f55,7.5,0.4,0.33,0.55,0.4,-50.0,0.00013217158266343176
B_s33_f55,7.5,0.4,0.33,0.55,0.4,-40.0,0.00012326458818279207
B_s33_f55,7.5,0.4,0.33,0.55,0.4,-30.0,0.00015128693485166878
B_s33_f55,7.5,0.4,0.33,0.55,0.4,-20.0,0.0002015243226196617
B_s33_f55,7.5,0.4,0.33,0.55,0.4,-10.0,0.0002637897850945592
B_s33_f55,7.5,0.4,0.33,0.55,0.4,0.0,0.0002760790812317282
B_s33_f55,7.5,0.4,0.33,0.55,0.4,10.0,0.00026940504903905094
B_s33_f55,7.5,0.4,0.33,0.55,0.4,20.0,0.00020989174663554877
B_s33_f55,7.5,0.4,0.33,0.55,0.4,30.0,0.000155096931848675
B_s33_f55,7.5,0.4,0.33,0.55,0.4,40.0,0.00012542679905891418
B_s33_f55,7.5,0.4,0.33,0.55,0.4,50.0,0.00012865693133790046
B_s33_f55,7.5,0.4,0.33,0.55,0.4,60.0,0.00019912180141545832
B_s33_f55,7.5,0.4,0.33,0.55,0.4,70.0,0.0005785425310023129
B_s33_f55,7.5,0.4,0.33,0.55,0.4,80.0,0.0020352427382022142
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,-80.0,0.0021318960934877396
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,-70.0,0.0006113575072959065
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,-60.0,0.0002039310202235356
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,-50.0,0.00012025596515741199
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,-40.0,9.43551494856365e-05
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,-30.0,8.371114381588995e-05
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,-20.0,8.045569120440632e-05
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,-10.0,8.372697629965842e-05
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,0.0,8.696579607203603e-05
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,10.0,8.415782212978229e-05
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,20.0,8.062580309342593e-05
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,30.0,8.356742182513699e-05
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,40.0,9.381790732732043e-05
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,50.0,0.00011849655857076868
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,60.0,0.00019706545572262257
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,70.0,0.0005786825204268098
B_s50_f55_t01,7.5,0.4,0.5,0.55,0.1,80.0,0.002035243669524789
