tag,family,topology,wall_top,seed,diffuse_frac,theta,rho,control,params_json
P7_box_flat,stack,box,3.0,23,d00,20.0,0.0009500303422100842,0.04797867313027382,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d00,-40.0,0.0009875792311504483,0.04791707918047905,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d00,40.0,0.000995004316791892,0.04790386185050011,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d76,0.0,0.0008522635325789452,0.047813791781663895,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d76,-20.0,0.0014915724750608206,0.04796384274959564,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d76,20.0,0.0015483348397538066,0.0479053370654583,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d76,-40.0,0.0021768335718661547,0.047838736325502396,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d76,40.0,0.002263889415189624,0.04782654717564583,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d100,0.0,0.0008481877157464623,0.04778941348195076,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d100,-20.0,0.0016801824094727635,0.04794171079993248,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
