tag,family,topology,shape,aspect,pitch,seed,diffuse_frac,theta,rho,control,params_json
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d00,20.0,0.00169371347874403,0.04874048009514809,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d00,-40.0,0.001784382970072329,0.04879654943943024,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d00,40.0,0.001842255238443613,0.048794616013765335,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d76,0.0,0.0025629675947129726,0.04881668463349342,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d76,-20.0,0.002948516746982932,0.0486799031496048,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d76,20.0,0.0025890362448990345,0.04869532585144043,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d76,-40.0,0.00346373300999403,0.04874933511018753,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d76,40.0,0.003045109799131751,0.04874802380800247,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d100,0.0,0.0027834735810756683,0.04880377650260925,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d100,-20.0,0.0033667590469121933,0.04866453632712364,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d100,20.0,0.0028967242687940598,0.04868123680353165,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d100,-40.0,0.0040021673776209354,0.04873570799827576,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_hol_a283,stack,hollow pyramid,hollow pyramid,2.83,17.6678,23,d100,40.0,0.003445720998570323,0.04873435199260712,"{""backing"": 2.0, ""bot_depth"": 3.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""top_depth"": 47.0}"
AN_cnv_a400,floor,convoluted,convoluted,4.0,12.5,23,d00,0.0,0.0023782241623848677,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""grid"": 12, ""kind"": ""wave"", ""margin_depths"": 2.0, ""pitch"": 12.5}"
AN_cnv_a400,floor,convoluted,convoluted,4.0,12.5,23,d00,-20.0,0.0021878730040043592,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""grid"": 12, ""kind"": ""wave"", ""margin_depths"": 2.0, ""pitch"": 12.5}"
AN_cnv_a400,floor,convoluted,convoluted,4.0,12.5,23,d00,20.0,0.00217863149009645,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""grid"": 12, ""kind"": ""wave"", ""margin_depths"": 2.0, ""pitch"": 12.5}"
AN_cnv_a400,floor,convoluted,convoluted,4.0,12.5,23,d00,-40.0,0.0029417420737445354,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""grid"": 12, ""kind"": ""wave"", ""margin_depths"": 2.0, ""pitch"": 12.5}"
