tag,family,topology,process,feature,seed,diffuse_frac,pitch,depth,theta,rho,control,params_json
P1_groove_p13_t04_s23,ridge,vgroove,print,0.4,23,d100,13.0,50.0,40.0,0.0035838489420711994,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d00,7.5,50.0,0.0,0.0016858502058312297,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d00,7.5,50.0,-20.0,0.000545164686627686,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d00,7.5,50.0,-40.0,0.0006153013673610985,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d00,7.5,50.0,20.0,0.0005579401040449739,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d00,7.5,50.0,40.0,0.0005943697178736329,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d76,7.5,50.0,0.0,0.001312850508838892,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d76,7.5,50.0,-20.0,0.0018959760200232267,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d76,7.5,50.0,-40.0,0.002786000957712531,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_p075_t04_s23,ridge,vgroove,print,0.4,23,d76,7.5,50.0,20.0,0.0019285758025944233,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 7.5, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
