tag,family,topology,process,feature,seed,diffuse_frac,tube,tube_kind,tube_pitch,tube_wall,tube_depth,floor,floor_depth,floor_pitch,depth,aspect,exposed_est,theta,rho,control,params_json
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d100,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,-20.0,0.001447593909688294,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d100,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,-40.0,0.0021356006618589163,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d100,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,20.0,0.0014534707879647613,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
B_CONE_p0550_s23,floor,cone/flat,mould,0.4,23,d100,cone_p550,cone,5.5,0.4,50.0,flat,0.0,0.0,50.0,9.090909090909092,0.00479682476491694,40.0,0.0021548415534198284,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d00,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,0.0,0.001795921940356493,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d00,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,-20.0,0.0014430837472900748,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d00,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,-40.0,0.0022153262980282307,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d00,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,20.0,0.0014171293005347252,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d00,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,40.0,0.002142298733815551,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d76,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,0.0,0.0010505858808755875,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d76,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,-20.0,0.0014197005657479167,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d76,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,-40.0,0.0020713317207992077,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d76,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,20.0,0.001388470409438014,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d76,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,40.0,0.0020588308107107878,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d100,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,0.0,0.0009234862518496811,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
CF_cone_pyramid_d30_s23,floor,cone/pyramid,press,0.1,23,d100,cone_p550,cone,5.5,0.4,47.0,pyramid,3.0,2.0,50.0,9.090909090909092,0.00479682476491694,-20.0,0.0015164620708674192,0.04999997094273567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 3.0, ""bot_params"": {""margin_depth_ref"": 50.0, ""pitch"": 2.0, ""tip_flat"": 0.1}, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""seed"": 23, ""top"": ""cone"", ""top_depth"": 47.0, ""top_params"": {""depth_jitter"": 0.0, ""height_seg"": 12, ""jitter"": 0.3, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}}"
